pid,wait_samples
203329,5
203328,5
203326,5
203327,5
159961,5
159959,5
203334,5
159957,5
159958,5
159960,5
159955,5
203331,5
203335,5
159954,5
203332,5
203333,5
203330,5
204029,1
204027,1
