  List size (in bytes) for each relation (table, index, etc.)

    schema_name     | segment_type | tablespace_name |                  segment_name                  | segment_size_bytes 
 pg_catalog         | i            |                 | pg_extension_name_index                        |              16384
 pg_catalog         | i            |                 | pg_extension_oid_index                         |              16384
 pg_catalog         | i            |                 | pg_foreign_data_wrapper_name_index             |               8192
 pg_catalog         | i            |                 | pg_foreign_data_wrapper_oid_index              |               8192
 pg_catalog         | i            |                 | pg_foreign_server_name_index                   |               8192
 pg_catalog         | i            |                 | pg_foreign_server_oid_index                    |               8192
 pg_catalog         | i            |                 | pg_foreign_table_relid_index                   |               8192
 pg_catalog         | i            |                 | pg_index_indexrelid_index                      |              16384
 pg_catalog         | i            |                 | pg_index_indrelid_index                        |              16384
 pg_catalog         | i            |                 | pg_inherits_parent_index                       |               8192
 pg_catalog         | i            |                 | pg_inherits_relid_seqno_index                  |               8192
 pg_catalog         | i            |                 | pg_init_privs_o_c_o_index                      |              16384
 pg_catalog         | i            |                 | pg_language_name_index                         |              16384
 pg_catalog         | i            |                 | pg_language_oid_index                          |              16384
 pg_catalog         | i            |                 | pg_largeobject_loid_pn_index                   |               8192
 pg_catalog         | i            |                 | pg_largeobject_metadata_oid_index              |               8192
 pg_catalog         | i            |                 | pg_namespace_nspname_index                     |              16384
 pg_catalog         | i            |                 | pg_namespace_oid_index                         |              16384
 pg_catalog         | i            |                 | pg_opclass_am_name_nsp_index                   |              16384
 pg_catalog         | i            |                 | pg_opclass_oid_index                           |              16384
 pg_catalog         | i            |                 | pg_operator_oid_index                          |              40960
 pg_catalog         | i            |                 | pg_operator_oprname_l_r_n_index                |              49152
 pg_catalog         | i            |                 | pg_opfamily_am_name_nsp_index                  |              16384
 pg_catalog         | i            |                 | pg_opfamily_oid_index                          |              16384
 pg_catalog         | i            |                 | pg_partitioned_table_partrelid_index           |               8192
 pg_catalog         | i            |                 | pg_policy_oid_index                            |              16384
 pg_catalog         | i            |                 | pg_policy_polrelid_polname_index               |              16384
 pg_catalog         | i            |                 | pg_proc_oid_index                              |              98304
 pg_catalog         | i            |                 | pg_proc_proname_args_nsp_index                 |             278528
 pg_catalog         | i            |                 | pg_publication_namespace_oid_index             |               8192
 pg_catalog         | i            |                 | pg_publication_namespace_pnnspid_pnpubid_index |               8192
 pg_catalog         | i            |                 | pg_publication_oid_index                       |               8192
 pg_catalog         | i            |                 | pg_publication_pubname_index                   |               8192
 pg_catalog         | i            |                 | pg_publication_rel_oid_index                   |               8192
 pg_catalog         | i            |                 | pg_publication_rel_prpubid_index               |               8192
 pg_catalog         | i            |                 | pg_publication_rel_prrelid_prpubid_index       |               8192
 pg_catalog         | i            |                 | pg_range_rngmultitypid_index                   |              16384
 pg_catalog         | i            |                 | pg_range_rngtypid_index                        |              16384
 pg_catalog         | i            |                 | pg_rewrite_oid_index                           |              16384
 pg_catalog         | i            |                 | pg_rewrite_rel_rulename_index                  |              16384
 pg_catalog         | i            |                 | pg_seclabel_object_index                       |               8192
 pg_catalog         | i            |                 | pg_sequence_seqrelid_index                     |              16384
 pg_catalog         | i            |                 | pg_statistic_ext_data_stxoid_inh_index         |               8192
 pg_catalog         | i            |                 | pg_statistic_ext_name_index                    |               8192
 pg_catalog         | i            |                 | pg_statistic_ext_oid_index                     |               8192
 pg_catalog         | i            |                 | pg_statistic_ext_relid_index                   |               8192
 pg_catalog         | i            |                 | pg_statistic_relid_att_inh_index               |              32768
 pg_catalog         | i            |                 | pg_subscription_rel_srrelid_srsubid_index      |               8192
 pg_toast           | i            |                 | pg_toast_1247_index                            |               8192
 pg_toast           | i            |                 | pg_toast_1255_index                            |              16384
 pg_toast           | i            |                 | pg_toast_1417_index                            |               8192
 pg_toast           | i            |                 | pg_toast_1418_index                            |               8192
 pg_toast           | i            |                 | pg_toast_14376_index                           |               8192
 pg_toast           | i            |                 | pg_toast_14381_index                           |               8192
 pg_toast           | i            |                 | pg_toast_14386_index                           |               8192
 pg_toast           | i            |                 | pg_toast_14391_index                           |               8192
 pg_toast           | i            |                 | pg_toast_16651_index                           |               8192
 pg_toast           | i            |                 | pg_toast_16670_index                           |               8192
 pg_toast           | i            |                 | pg_toast_16697_index                           |               8192
 pg_toast           | i            |                 | pg_toast_16703_index                           |              49152
 pg_toast           | i            |                 | pg_toast_16708_index                           |               8192
 pg_toast           | i            |                 | pg_toast_2328_index                            |               8192
 pg_toast           | i            |                 | pg_toast_2600_index                            |               8192
 pg_toast           | i            |                 | pg_toast_2604_index                            |               8192
 pg_toast           | i            |                 | pg_toast_2606_index                            |               8192
 pg_toast           | i            |                 | pg_toast_2609_index                            |               8192
 pg_toast           | i            |                 | pg_toast_2612_index                            |               8192
 pg_toast           | i            |                 | pg_toast_2615_index                            |               8192
 pg_toast           | i            |                 | pg_toast_2618_index                            |              16384
 pg_toast           | i            |                 | pg_toast_2619_index                            |              16384
 pg_toast           | i            |                 | pg_toast_2620_index                            |               8192
 pg_toast           | i            |                 | pg_toast_3079_index                            |               8192
 pg_toast           | i            |                 | pg_toast_3118_index                            |               8192
 pg_toast           | i            |                 | pg_toast_3256_index                            |               8192
 pg_toast           | i            |                 | pg_toast_3350_index                            |               8192
 pg_toast           | i            |                 | pg_toast_3381_index                            |               8192
 pg_toast           | i            |                 | pg_toast_3394_index                            |               8192
 pg_toast           | i            |                 | pg_toast_3429_index                            |               8192
 pg_toast           | i            |                 | pg_toast_3456_index                            |               8192
 pg_toast           | i            |                 | pg_toast_3466_index                            |               8192
 pg_toast           | i            |                 | pg_toast_3596_index                            |               8192
 pg_toast           | i            |                 | pg_toast_3600_index                            |               8192
 pg_toast           | i            |                 | pg_toast_6106_index                            |               8192
 pg_toast           | i            |                 | pg_toast_826_index                             |               8192
 pg_catalog         | i            |                 | pg_transform_oid_index                         |               8192
 pg_catalog         | i            |                 | pg_transform_type_lang_index                   |               8192
 pg_catalog         | i            |                 | pg_trigger_oid_index                           |              16384
 pg_catalog         | i            |                 | pg_trigger_tgconstraint_index                  |              16384
 pg_catalog         | i            |                 | pg_trigger_tgrelid_tgname_index                |              16384
 pg_catalog         | i            |                 | pg_ts_config_cfgname_index                     |              16384
 pg_catalog         | i            |                 | pg_ts_config_map_index                         |              32768
 pg_catalog         | i            |                 | pg_ts_config_oid_index                         |              16384
 pg_catalog         | i            |                 | pg_ts_dict_dictname_index                      |              16384
 pg_catalog         | i            |                 | pg_ts_dict_oid_index                           |              16384
 pg_catalog         | i            |                 | pg_ts_parser_oid_index                         |              16384
 pg_catalog         | i            |                 | pg_ts_parser_prsname_index                     |              16384
 pg_catalog         | i            |                 | pg_ts_template_oid_index                       |              16384
 pg_catalog         | i            |                 | pg_ts_template_tmplname_index                  |              16384
 pg_catalog         | i            |                 | pg_type_oid_index                              |              32768
 pg_catalog         | i            |                 | pg_type_typname_nsp_index                      |              49152
 pg_catalog         | i            |                 | pg_user_mapping_oid_index                      |               8192
 pg_catalog         | i            |                 | pg_user_mapping_user_server_index              |               8192
 public             | i            |                 | pgbench_accounts_pkey                          |           22487040
 public             | i            |                 | pgbench_branches_pkey                          |              16384
 public             | i            |                 | pgbench_tellers_pkey                           |              16384
 statistics         | r            |                 | ash_session_sample                             |              81920
 statistics         | r            |                 | ash_stat_statements_sample                     |           15433728
 statistics         | r            |                 | ash_wait_sampling_sample                       |             106496
 cron               | r            |                 | job                                            |              16384
 cron               | r            |                 | job_run_details                                |              57344
 pg_catalog         | r            |                 | pg_aggregate                                   |              57344
 pg_catalog         | r            |                 | pg_am                                          |              40960
 pg_catalog         | r            |                 | pg_amop                                        |              90112
 pg_catalog         | r            |                 | pg_amproc                                      |              73728
 pg_catalog         | r            |                 | pg_attrdef                                     |              16384
 pg_catalog         | r            |                 | pg_attribute                                   |             647168
 pg_catalog         | r            |                 | pg_cast                                        |              49152
 pg_catalog         | r            |                 | pg_class                                       |             147456
