  SCRIPT: ORA_M01_object_storage_analysis

  STATS: show how all the segments are managed in each tablespace as message

 schema_name | segment_type |                  segment_name                  | num_rows | storage_options 
 pg_catalog  | INDEX        | pg_range_rngmultitypid_index                   |        6 | 
 pg_catalog  | INDEX        | pg_range_rngtypid_index                        |        6 | 
 pg_catalog  | INDEX        | pg_replication_origin_roiident_index           |        0 | 
 pg_catalog  | INDEX        | pg_replication_origin_roname_index             |        0 | 
 pg_catalog  | INDEX        | pg_rewrite_oid_index                           |      143 | 
 pg_catalog  | INDEX        | pg_rewrite_rel_rulename_index                  |      143 | 
 pg_catalog  | INDEX        | pg_seclabel_object_index                       |        0 | 
 pg_catalog  | INDEX        | pg_sequence_seqrelid_index                     |        0 | 
 pg_catalog  | INDEX        | pg_shdepend_depender_index                     |        0 | 
 pg_catalog  | INDEX        | pg_shdepend_reference_index                    |        0 | 
 pg_catalog  | INDEX        | pg_shdescription_o_c_index                     |        1 | 
 pg_catalog  | INDEX        | pg_shseclabel_object_index                     |        0 | 
 pg_catalog  | INDEX        | pg_statistic_ext_data_stxoid_inh_index         |        0 | 
 pg_catalog  | INDEX        | pg_statistic_ext_name_index                    |        0 | 
 pg_catalog  | INDEX        | pg_statistic_ext_oid_index                     |        0 | 
 pg_catalog  | INDEX        | pg_statistic_ext_relid_index                   |        0 | 
 pg_catalog  | INDEX        | pg_statistic_relid_att_inh_index               |      486 | 
 pg_catalog  | INDEX        | pg_subscription_oid_index                      |        0 | 
 pg_catalog  | INDEX        | pg_subscription_rel_srrelid_srsubid_index      |        0 | 
 pg_catalog  | INDEX        | pg_subscription_subname_index                  |        0 | 
 pg_catalog  | INDEX        | pg_tablespace_oid_index                        |        2 | 
 pg_catalog  | INDEX        | pg_tablespace_spcname_index                    |        2 | 
 pg_catalog  | INDEX        | pg_transform_oid_index                         |        0 | 
 pg_catalog  | INDEX        | pg_transform_type_lang_index                   |        0 | 
 pg_catalog  | INDEX        | pg_trigger_oid_index                           |        0 | 
 pg_catalog  | INDEX        | pg_trigger_tgconstraint_index                  |        0 | 
 pg_catalog  | INDEX        | pg_trigger_tgrelid_tgname_index                |        0 | 
 pg_catalog  | INDEX        | pg_ts_config_cfgname_index                     |       29 | 
 pg_catalog  | INDEX        | pg_ts_config_map_index                         |      551 | 
 pg_catalog  | INDEX        | pg_ts_config_oid_index                         |       29 | 
 pg_catalog  | INDEX        | pg_ts_dict_dictname_index                      |       29 | 
 pg_catalog  | INDEX        | pg_ts_dict_oid_index                           |       29 | 
 pg_catalog  | INDEX        | pg_ts_parser_oid_index                         |        1 | 
 pg_catalog  | INDEX        | pg_ts_parser_prsname_index                     |        1 | 
 pg_catalog  | INDEX        | pg_ts_template_oid_index                       |        5 | 
 pg_catalog  | INDEX        | pg_ts_template_tmplname_index                  |        5 | 
 pg_catalog  | INDEX        | pg_type_oid_index                              |      645 | 
